Info,Info,Info,Info,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Count,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Count,Count,Rate,Rate
Africa,Sub-Saharan Africa,Ghana,Male,,,,,,,,,,,,,,,,,,,,,479.0,508.0,,,,,,,,,,,,,,,,,,,,,2.98717981361652,3.10242895316526,987.0,493.5,6.0896087667817795,3.0448043833908898
Africa,Sub-Saharan Africa,Kenya,Female,,,,,,,,,,,,,,,522.0,611.0,639.0,433.0,437.0,396.0,449.0,706.0,,,,,,,,,,,,,,,2.26534572675881,2.59168869538065,2.64888869243509,1.75681487998369,1.7362958036174,1.54210069239932,1.71340810915989,2.64157993868953,4193.0,524.125,16.89612253842438,2.1120153173030474
Africa,Sub-Saharan Africa,Kenya,Male,,,,,,,,,,,,,,,1783.0,1650.0,1724.0,2033.0,1132.0,1180.0,1410.0,2090.0,,,,,,,,,,,,,,,7.82857708518313,7.09027453890587,7.25074355415544,8.36721612680434,4.56731886056772,4.66916345566054,5.46920800980641,7.95306262262438,13002.0,1625.25,53.19556425370783,6.649445531713479
Africa,Sub-Saharan Africa,Madagascar,Female,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,0.0484498432284198,,,,,,,6.0,6.0,0.0484498432284198,0.0484498432284198
Africa,Sub-Saharan Africa,Madagascar,Male,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,0.713886287459629,,,,,,,89.0,89.0,0.713886287459629,0.713886287459629
Africa,Sub-Saharan Africa,Mauritius,Female,11.0,,,11.0,7.0,13.0,13.0,12.0,18.0,16.0,9.0,8.0,10.0,11.0,8.0,6.0,10.0,13.0,14.0,6.0,11.0,12.0,1.86924488258266,,,1.76119093838662,1.11619066450019,2.08387839337553,1.99966972954829,1.92256423927979,2.73452035103805,2.48469003879999,1.39294088513655,1.2346688849551,1.53957476944868,1.69015988912551,1.22720937956129,0.919183826041397,1.5302511524704,1.98694424787282,2.13759059948728,0.914975169861328,1.67438915239377,1.82379413011859,219.0,10.95,34.04363132398383,1.7021815661991915
Africa,Sub-Saharan Africa,Mauritius,Male,15.0,,,28.0,28.0,24.0,37.0,33.0,30.0,22.0,25.0,24.0,18.0,24.0,11.0,15.0,11.0,20.0,23.0,21.0,24.0,22.0,2.40781961027073,,,4.52454817065002,4.49260084685526,3.80447987255524,5.92331731378467,5.17646571626756,4.80230335932035,3.45953290015788,3.92332258342945,3.760055210144,2.81595614617628,3.7507882515935,1.71813791336836,2.3422860712055,1.71761342299275,3.12270920004778,3.59128940561818,3.27856823364014,3.74490049877394,3.43242912228887,455.0,22.75,71.78912384914045,3.5894561924570225
Africa,Sub-Saharan Africa,Namibia,Female,,,,,,,,,,,,,,,,,,,120.0,103.0,86.0,89.0,,,,,,,,,,,,,,,,,,,9.64768658525359,8.14057749889055,6.67993591921938,6.79916377925025,398.0,99.5,31.26736378261377,7.816840945653443
Africa,Sub-Saharan Africa,Namibia,Male,,,,,,,,,,,,,,,,,,,356.0,216.0,219.0,226.0,,,,,,,,,,,,,,,,,,,30.6405510479327,18.283733064269,18.2247814586566,18.5069024194909,1017.0,254.25,85.65596799034921,21.413991997587303
Africa,Sub-Saharan Africa,Réunion,Female,,,,,10.0,7.0,8.0,8.0,4.0,6.0,,,,,,,,,,,,,,,,,2.4306615626688,1.70778010650673,1.86516371556319,1.80000787503445,0.996706438945086,1.27844774527477,,,,,,,,,,,,,43.0,7.166666666666667,10.078767443993026,1.6797945739988378
